,baseline,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-04-24,-3.9632852623634305,-2.719711574180582,-2.719711574180582,-2.719711574180582,-2.719711574180582
1973-04-25,7.2,5.758340062779719,5.758340062779719,5.758340062779719,5.758340062779719
1973-04-26,-6.75,-5.325,-5.325,-5.325,-5.325
1973-04-27,-0.9050170624811049,-0.7334129582451561,-0.7334129582451561,-0.7334129582451561,-0.7334129582451561
1973-04-30,8.7,5.693192163989344,5.693192163989344,5.693192163989344,5.693192163989344
1973-05-01,8.25636650748772,5.035,5.035,5.035,5.035
1973-05-02,-5.743481210536935,-3.7152218158054016,-3.7152218158054016,-3.7152218158054016,-3.7152218158054016
1973-05-03,5.193008692210907,3.64,3.64,3.64,3.64
1973-05-04,-0.38,-0.28,-0.28,-0.28,-0.28
1973-05-07,6.46,4.76,4.76,4.76,4.76
1973-05-08,1.9,1.3947376832330614,1.3947376832330614,1.3947376832330614,1.3947376832330614
1973-05-09,0.76,0.5795114299684317,0.5795114299684317,0.5795114299684317,0.5795114299684317
1973-05-10,-9.125386123732111,-7.803590749154742,-7.803590749154742,-7.803590749154742,-7.803590749154742
1973-05-11,0.782842667213493,0.6413706688539723,0.6413706688539723,0.6413706688539723,0.6413706688539723
1973-05-14,3.0,2.0364249288658405,2.0364249288658405,2.0364249288658405,2.0364249288658405
1973-05-15,0.375,0.245,0.245,0.245,0.245
1973-05-16,-3.75,-2.45,-2.45,-2.45,-2.45
1973-05-17,-1.125,-0.736780485544118,-0.736780485544118,-0.736780485544118,-0.736780485544118
1973-05-18,6.375,4.074612074690671,4.074612074690671,4.074612074690671,4.074612074690671
1973-05-21,11.625,6.975,6.975,6.975,6.975
1973-05-22,1.8694297124148989,1.1212864749432658,1.1212864749432658,1.1212864749432658,1.1212864749432658
1973-05-23,1.08,0.6920429955397711,0.6920429955397711,0.6920429955397711,0.6920429955397711
1973-05-24,1.8,1.340769122720142,1.340769122720142,1.340769122720142,1.340769122720142
1973-05-25,11.874251520979449,9.725419201632413,9.725419201632413,9.725419201632413,9.725419201632413
1973-05-28,0.0,0.0,0.0,0.0,0.0
1973-05-29,12.0,10.24,10.24,10.24,10.24
1973-05-30,-11.25,-9.6,-9.6,-9.6,-9.6
1973-05-31,3.7317079300008964,3.1878052866672646,3.1878052866672646,3.1878052866672646,3.1878052866672646
1973-06-01,6.6,5.8,5.8,5.8,5.8
1973-06-04,13.53,11.89,11.89,11.89,11.89
1973-06-05,13.195545213978058,11.593317820967085,11.593317820967085,11.593317820967085,11.593317820967085
1973-06-06,-12.80697268068929,-11.00697268068929,-11.00697268068929,-11.00697268068929,-11.00697268068929
