,baseline,handcraft,shrinkage,hrp,equal
2012-04-03,-2.9429035856533625,-2.8949035856533722,-2.8915000000001037,-2.829500000000084,-3.380000000000124
2012-04-04,1.3125777018506017,1.396931997763458,1.3253409988816731,1.2159867029688283,1.6638277018505785
2012-04-05,0.8470000000000185,1.2165000000000212,1.2130856986980711,0.5470000000000161,1.2525000000000237
2012-04-06,1.0355000000001822,1.959750000000203,1.7947500000001826,0.8705000000001617,2.288750000000224
2012-04-09,0.9236412735668018,0.8087940927238245,0.7887940927238427,0.891491217543866,0.7491412735667673
2012-04-10,-2.076458418928568,-1.390508229130602,-1.428845381734263,-1.7145082291305955,-0.7932084189285749
2012-04-11,0.0661453794966493,-0.1341783149644462,-0.1341783149644462,-0.0498471765269307,-0.2894369090774421
2012-04-12,0.306686000917509,0.11168600091753196,0.11500000000023461,0.3166860009174857,-0.014999999999719193
2012-04-13,-1.0949803768284962,-0.3784775405076283,-0.42642082546333604,-0.7407275405075837,-0.21570508101503652
2012-04-16,-1.2156772098652204,-0.7316772098652141,-0.9598544197304909,-0.8623213112373159,-0.6718213112372933
2012-04-17,0.5481456454702847,0.22596783483965546,0.30314564547027884,0.43314564547029033,-0.07620870905938057
2012-04-18,-0.00931503902343106,0.21209540455161918,0.11084540455161351,0.0048454045516025,0.34200000000009756
2012-04-19,1.4766487997798186,1.3019345095714447,1.4566487997798196,1.036648799779827,1.337898799779808
2012-04-20,-0.08084657177072777,-0.21907962892678814,-0.3128465717707295,-0.019063601963820134,-0.283410173734644
2012-04-23,1.4770668230823156,1.6469348940003923,1.4829203038076533,1.3300000000001517,1.5759854098074881
2012-04-24,-1.2493126676450859,-1.2362500000000238,-1.2062500000000227,-1.0280626676450837,-1.3005626676450894
2012-04-25,-0.7414999999999295,-0.7254999999999263,-0.7054999999999303,-0.5939999999999376,-0.7529999999999143
2012-04-26,0.6227499999997772,0.7227540351580157,0.6936939599415626,0.5250040351580548,0.970499999999725
2012-04-27,2.143750000000174,1.9425000000001842,1.8447516356853544,2.0287500000001533,1.923501635685385
2012-04-30,0.712957381282012,0.7739075716225512,0.7769537858111126,0.5869537858111676,0.7899931422201903
2012-05-01,-0.8670448528517837,-0.9950427401622313,-0.9750427401622495,-0.6160427401623049,-1.2640427401621759
2012-05-02,-0.08600000000034524,0.2504999999996184,0.22653078502578466,0.028999999999691134,0.6069999999995637
2012-05-03,-0.43301415538358456,-0.3299999999999977,-0.3330141553835853,-0.3999999999999969,-0.23301415538358608
2012-05-04,0.7754985313341473,1.3047470626683502,1.1225311470179111,0.7304985313341557,1.9899985313341337
2012-05-07,0.42900000000000926,0.4330000000000111,0.41800000000001053,0.3740000000000076,0.45200000000001345
2012-05-08,0.27500000000001534,0.6125000000000157,0.5975000000000151,0.16500000000001366,0.9650000000000165
2012-05-09,-1.47342016225881,-1.174731531524201,-1.174731531524201,-1.24842016225881,-0.8799815315242014
2012-05-10,-1.7088611108473217,-1.604952677194559,-1.5849526771945632,-1.454952677194579,-1.520952677194546
2012-05-11,1.0332500000003564,1.133250000000387,1.1032500000003718,0.8645000000003104,1.4780000000004319
2012-05-14,1.2875000000000232,1.3425000000000253,1.3125000000000244,1.0550000000000197,1.6950000000000298
2012-05-15,-0.13625000000045448,-0.3701801760001239,-0.345180176000104,-0.22250000000039485,-0.5338886804163679
2012-05-16,1.7317546368261836,1.531765667728969,1.5129302467532886,1.4149484774030516,1.3909173958860839
2012-05-17,1.7585768782777798,1.808619498371695,1.7786194983716939,1.447196376649442,2.133576878277785
2012-05-18,0.7912500000001046,0.6210916834671174,0.6260916834671129,0.45625000000009086,0.5008161764286464
2012-05-21,-0.07769867408747093,-0.3379293278188992,-0.3329293278189179,-0.20176589009407575,-0.5038621118122756
2012-05-22,-3.4708532920672397,-3.172926646033909,-3.147926646033889,-2.55292664603381,-3.1308532920673593
2012-05-23,2.2879496245228994,2.3418170860438656,2.3068170860438686,1.960249999999925,2.8526325384789217
2012-05-24,-2.258855012791297,-2.2688550127912905,-2.2377100255826767,-1.9967776193084306,-2.508855012791277
2012-05-25,1.43415458864125,1.4216545886412513,1.3191545886412506,1.24707729432063,1.5691545886412535
2012-05-28,-0.0038357984266411864,-0.0038357984266411864,-0.0038357984266411864,-0.0038357984266411864,-0.0038357984266411864
2012-05-29,-0.05500000000010459,0.05999999999988631,0.02999999999989086,0.00999999999990905,0.10499999999986813
2012-05-30,4.25750000000051,4.711250000000554,4.282500000000532,3.942500000000444,5.3950000000006435
2012-05-31,1.6993664270496585,1.8464557398269654,1.7114982056177388,1.5305739612588778,2.117337518395051
2012-06-01,1.8937499999996217,2.200906458490734,2.130906458490755,1.5983673402922194,2.7296564584906706
2012-06-04,-1.264073535984168,-1.6590735359841722,-1.5990735359841701,-1.4190735359841633,-2.095323535984179
2012-06-05,-1.2274695665510045,-0.8702729047134337,-0.8874695665509802,-0.9512257804526119,-0.8727729047133602
2012-06-06,-0.988492286803173,-1.2863065096516368,-1.283492286803175,-0.851022821121383,-1.7264556163262856
2012-06-07,1.7399999999997264,1.4399999999996902,1.4199999999997082,1.3599999999997627,1.1899999999996536
2012-06-08,0.9081849208778381,0.7910000000000096,0.776000000000009,0.7281849208778369,0.6931849208778404
2012-06-11,0.1684650274531177,0.39066993759492263,0.36566993759490274,0.3222049101420637,0.7844199375949823
2012-06-12,-2.9365974827878984,-2.8037987413942176,-2.7565974827879236,-2.3787987413941147,-2.9487987413942944
2012-06-13,1.1700000000000428,1.4700000000000453,1.4700000000000453,1.030000000000036,2.090000000000052
2012-06-14,-0.07132991209555992,-0.18301450741267372,-0.18577901482543854,-0.08507991209557356,-0.38926450741266005
2012-06-15,0.6032500000002968,0.9639280164307258,0.9039280164307094,0.5170000000002474,1.4535000000003628
2012-06-18,2.1242499999996642,1.5692499999996454,1.5642499999996642,1.5679999999997205,1.0614999999995882
2012-06-19,1.3736095181918808,0.7673194554956975,0.7808915869641194,0.9073194554956043,0.20728206877275115
2012-06-20,-0.9832213353810713,-1.2257213353810643,-1.081792260658188,-0.9732213353810779,-1.3502922606581738
2012-06-21,-0.36105869396815143,0.035000000000000815,0.035000000000000815,-0.02749999999999918,-0.06249999999999964
