,baseline,handcraft,shrinkage,hrp,equal
1973-03-19,-2.593288484155824,-1.3332884841558246,-1.3332884841558246,-1.3332884841558246,-1.3332884841558246
1973-03-20,1.14,0.6,0.6,0.6,0.6
1973-03-21,0.37836993329519414,0.19836993329519417,0.19836993329519417,0.19836993329519417,0.19836993329519417
1973-03-22,4.615082051733099,2.458360683911033,2.458360683911033,2.458360683911033,2.458360683911033
1973-03-23,-2.8,-1.47,-1.47,-1.47,-1.47
1973-03-26,-1.2,-0.63,-0.63,-0.63,-0.63
1973-03-27,-2.8,-1.47,-1.47,-1.47,-1.47
1973-03-28,3.3920000000000075,1.7808000000000037,1.7808000000000037,1.7808000000000037,1.7808000000000037
1973-03-29,0.20799999999999272,0.10919999999999619,0.10919999999999619,0.10919999999999619,0.10919999999999619
1973-03-30,0.796762715978117,0.41838135798905846,0.41838135798905846,0.41838135798905846,0.41838135798905846
1973-04-02,9.016669484182762,4.7283347420913815,4.7283347420913815,4.7283347420913815,4.7283347420913815
1973-04-03,-3.36,-1.76,-1.76,-1.76,-1.76
1973-04-04,2.52,1.32,1.32,1.32,1.32
1973-04-05,-2.3183999999999925,-1.2143999999999961,-1.2143999999999961,-1.2143999999999961,-1.2143999999999961
1973-04-06,-1.26,-0.66,-0.66,-0.66,-0.66
1973-04-09,5.88,3.08,3.08,3.08,3.08
1973-04-10,-2.3016000000000076,-1.205600000000004,-1.205600000000004,-1.205600000000004,-1.205600000000004
1973-04-11,-1.0583999999999922,-0.554399999999996,-0.554399999999996,-0.554399999999996,-0.554399999999996
1973-04-12,2.52,1.32,1.32,1.32,1.32
1973-04-13,0.21839999999999238,0.114399999999996,0.114399999999996,0.114399999999996,0.114399999999996
1973-04-16,2.94,1.54,1.54,1.54,1.54
1973-04-17,-1.26,-0.66,-0.66,-0.66,-0.66
1973-04-18,5.03670266637099,2.6383513331854953,2.6383513331854953,2.6383513331854953,2.6383513331854953
1973-04-19,1.29,0.675,0.675,0.675,0.675
1973-04-20,-0.0032733149630514314,-0.0016366574815257157,-0.0016366574815257157,-0.0016366574815257157,-0.0016366574815257157
1973-04-23,4.4,2.3,2.3,2.3,2.3
1973-04-24,-3.9632852623634305,-2.071642631181715,-2.071642631181715,-2.071642631181715,-2.071642631181715
1973-04-25,7.2,3.76,3.76,3.76,3.76
1973-04-26,-6.75,-3.525,-3.525,-3.525,-3.525
1973-04-27,-0.9050170624811049,-0.4716723541603683,-0.4716723541603683,-0.4716723541603683,-0.4716723541603683
1973-04-30,8.7,4.6,4.6,4.6,4.6
1973-05-01,8.25636650748772,4.364819904492632,4.364819904492632,4.364819904492632,4.364819904492632
1973-05-02,-5.743481210536935,-3.011740605268467,-3.011740605268467,-3.011740605268467,-3.011740605268467
1973-05-03,5.193008692210907,2.7265043461054534,2.7265043461054534,2.7265043461054534,2.7265043461054534
1973-05-04,-0.38,-0.2,-0.2,-0.2,-0.2
1973-05-07,6.46,3.4,3.4,3.4,3.4
1973-05-08,1.9,1.0,1.0,1.0,1.0
1973-05-09,0.76,0.4,0.4,0.4,0.4
1973-05-10,-9.125386123732111,-4.803590749154742,-4.803590749154742,-4.803590749154742,-4.803590749154742
1973-05-11,0.782842667213493,0.4164213336067465,0.4164213336067465,0.4164213336067465,0.4164213336067465
1973-05-14,3.0,1.6,1.6,1.6,1.6
1973-05-15,0.375,0.2,0.2,0.2,0.2
1973-05-16,-3.75,-2.0,-2.0,-2.0,-2.0
1973-05-17,-1.125,-0.6,-0.6,-0.6,-0.6
1973-05-18,6.375,3.4,3.4,3.4,3.4
1973-05-21,11.625,6.2,6.2,6.2,6.2
1973-05-22,1.8694297124148989,0.9962864749432658,0.9962864749432658,0.9962864749432658,0.9962864749432658
1973-05-23,1.08,0.57,0.57,0.57,0.57
1973-05-24,1.8,0.95,0.95,0.95,0.95
1973-05-25,11.874251520979449,6.268083840326482,6.268083840326482,6.268083840326482,6.268083840326482
1973-05-28,0.0,0.0,0.0,0.0,0.0
1973-05-29,12.0,6.24,6.24,6.24,6.24
1973-05-30,-11.25,-5.85,-5.85,-5.85,-5.85
1973-05-31,3.7317079300008964,1.9418701911115095,1.9418701911115095,1.9418701911115095,1.9418701911115095
1973-06-01,6.6,3.5,3.5,3.5,3.5
1973-06-04,13.53,7.175,7.175,7.175,7.175
1973-06-05,13.195545213978058,6.997772606989029,6.997772606989029,6.997772606989029,6.997772606989029
1973-06-06,-12.80697268068929,-6.804648453792859,-6.804648453792859,-6.804648453792859,-6.804648453792859
1973-06-07,-12.219319294281817,-6.409659647140909,-6.409659647140909,-6.409659647140909,-6.409659647140909
1973-06-08,4.225484923285511,2.2327424616427556,2.2327424616427556,2.2327424616427556,2.2327424616427556
1973-06-11,9.042800000000003,4.810000000000002,4.810000000000002,4.810000000000002,4.810000000000002
1973-06-12,2.0021999999999958,1.064999999999998,1.064999999999998,1.064999999999998,1.064999999999998
1973-06-13,-2.82,-1.5,-1.5,-1.5,-1.5
1973-06-14,-9.165,-4.875,-4.875,-4.875,-4.875
1973-06-15,-7.287605341151602,-3.8776053411516016,-3.8776053411516016,-3.8776053411516016,-3.8776053411516016
1973-06-18,8.964666877017082,4.6773334385085406,4.6773334385085406,4.6773334385085406,4.6773334385085406
1973-06-19,3.734659533376315,1.9523297666881574,1.9523297666881574,1.9523297666881574,1.9523297666881574
1973-06-20,-5.88,-3.08,-3.08,-3.08,-3.08
1973-06-21,5.46,2.86,2.86,2.86,2.86
1973-06-22,-5.46,-2.86,-2.86,-2.86,-2.86
1973-06-25,1.89,0.99,0.99,0.99,0.99
1973-06-26,-6.3,-3.3,-3.3,-3.3,-3.3
1973-06-27,-0.63,-0.33,-0.33,-0.33,-0.33
1973-06-28,-8.299199999999995,-4.347199999999998,-4.347199999999998,-4.347199999999998,-4.347199999999998
1973-06-29,5.773445917224694,3.024322958612347,3.024322958612347,3.024322958612347,3.024322958612347
1973-07-02,8.090912250626689,4.250456235263292,4.250456235263292,4.250456235263292,4.250456235263292
1973-07-03,0.5791148505983549,0.31205742529917746,0.31205742529917746,0.31205742529917746,0.31205742529917746
1973-07-04,0.0,0.0,0.0,0.0,0.0
1973-07-05,-7.03,-3.8,-3.8,-3.8,-3.8
1973-07-06,1.85,1.0,1.0,1.0,1.0
1973-07-09,0.925,0.5,0.5,0.5,0.5
1973-07-10,-3.33,-1.8,-1.8,-1.8,-1.8
1973-07-11,7.673800000000003,4.1480000000000015,4.1480000000000015,4.1480000000000015,4.1480000000000015
1973-07-12,1.2061999999999968,0.6519999999999981,0.6519999999999981,0.6519999999999981,0.6519999999999981
1973-07-13,4.44,2.4,2.4,2.4,2.4
1973-07-16,6.29,3.4,3.4,3.4,3.4
1973-07-17,-3.885,-2.1,-2.1,-2.1,-2.1
1973-07-18,1.11,0.6,0.6,0.6,0.6
1973-07-19,7.77,4.2,4.2,4.2,4.2
1973-07-20,7.4,4.0,4.0,4.0,4.0
1973-07-23,5.92,3.2,3.2,3.2,3.2
1973-07-24,-3.703324660096258,-2.0,-2.0,-2.0,-2.0
1973-07-25,6.836634005320341,3.6,3.6,3.6,3.6
1973-07-26,4.676620334807709,2.3966203348077095,2.3966203348077095,2.3966203348077095,2.3966203348077095
1973-07-27,-8.003444614865945,-4.203444614865945,-4.203444614865945,-4.203444614865945,-4.203444614865945
1973-07-30,8.61,4.62,4.62,4.62,4.62
1973-07-31,8.2,4.4,4.4,4.4,4.4
1973-08-01,-2.87,-1.54,-1.54,-1.54,-1.54
1973-08-02,-1.23,-0.66,-0.66,-0.66,-0.66
1973-08-03,7.79,4.18,4.18,4.18,4.18
1973-08-06,8.2,4.4,4.4,4.4,4.4
1973-08-07,8.2,4.4,4.4,4.4,4.4
1973-08-08,7.79,4.18,4.18,4.18,4.18
1973-08-09,-2.05,-1.1,-1.1,-1.1,-1.1
1973-08-10,7.79,4.18,4.18,4.18,4.18
1973-08-13,8.2,4.4,4.4,4.4,4.4
1973-08-14,8.2,4.4,4.4,4.4,4.4
1973-08-15,-8.2,-4.4,-4.4,-4.4,-4.4
1973-08-16,-8.203951421293407,-4.403951421293408,-4.403951421293408,-4.403951421293408,-4.403951421293408
1973-08-17,-1.2079057466493612,-0.6339528733246806,-0.6339528733246806,-0.6339528733246806,-0.6339528733246806
1973-08-20,-3.8,-2.0,-2.0,-2.0,-2.0
1973-08-21,-7.22,-3.8,-3.8,-3.8,-3.8
1973-08-22,-7.60406807887039,-4.0,-4.0,-4.0,-4.0
1973-08-23,-7.4041226096728545,-4.004122609672854,-4.004122609672854,-4.004122609672854,-4.004122609672854
