,handcraft,shrinkage,hrp,equal,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-01-22,0.375,0.375,0.375,0.375,-0.075,-0.075,-0.075,-0.075
1973-01-23,1.0,1.0,1.0,1.0,-0.2,-0.2,-0.2,-0.2
1973-01-24,0.375,0.375,0.375,0.375,-0.0832092175681205,-0.0832092175681205,-0.0832092175681205,-0.0832092175681205
1973-01-25,0.0,0.0,0.0,0.0,-0.008150371121605925,-0.008150371121605925,-0.008150371121605925,-0.008150371121605925
1973-01-26,-1.625,-1.625,-1.625,-1.625,-0.325,-0.325,-0.325,-0.325
1973-01-29,-0.375,-0.375,-0.375,-0.375,-0.075,-0.075,-0.075,-0.075
1973-01-30,-0.25,-0.25,-0.25,-0.25,-0.05488931040310027,-0.05488931040310027,-0.05488931040310027,-0.05488931040310027
1973-01-31,0.25,0.25,0.25,0.25,0.016760796288878547,0.016760796288878547,0.016760796288878547,0.016760796288878547
1973-02-01,-1.1266227604506656,-1.1266227604506656,-1.1266227604506656,-1.1266227604506656,0.0,0.0,0.0,0.0
1973-02-02,1.04,1.04,1.04,1.04,-0.008121059141520772,-0.008121059141520772,-0.008121059141520772,-0.008121059141520772
1973-02-05,0.78,0.78,0.78,0.78,-0.15,-0.15,-0.15,-0.15
1973-02-06,-0.91,-0.91,-0.91,-0.91,0.1717637575986321,0.1717637575986321,0.1717637575986321,0.1717637575986321
1973-02-07,-0.26,-0.26,-0.26,-0.26,0.03,0.03,0.03,0.03
1973-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-09,0.65,0.65,0.65,0.65,-0.075,-0.075,-0.075,-0.075
1973-02-12,1.6883879755947937,1.6883879755947937,1.6883879755947937,1.6883879755947937,-0.195,-0.195,-0.195,-0.195
1973-02-13,0.675,0.675,0.675,0.675,-0.09266991069050415,-0.09266991069050415,-0.09266991069050415,-0.09266991069050415
1973-02-14,-1.4201999999999975,-1.4201999999999975,-1.4201999999999975,-1.4201999999999975,-0.4337191208479885,-0.4337191208479885,-0.4337191208479885,-0.4337191208479885
1973-02-15,0.34019999999999756,0.34019999999999756,0.34019999999999756,0.34019999999999756,0.20159999999999856,0.20159999999999856,0.20159999999999856,0.20159999999999856
1973-02-16,0.6733989468800403,0.6733989468800403,0.6733989468800403,0.6733989468800403,0.4,0.4,0.4,0.4
1973-02-19,-0.0015918252584268865,-0.0015918252584268865,-0.0015918252584268865,-0.0015918252584268865,0.0,0.0,0.0,0.0
1973-02-20,0.58,0.58,0.58,0.58,0.32,0.32,0.32,0.32
1973-02-21,2.9,2.9,2.9,2.9,1.5934527341474596,1.5934527341474596,1.5934527341474596,1.5934527341474596
1973-02-22,1.16,1.16,1.16,1.16,0.7819984827176613,0.7819984827176613,0.7819984827176613,0.7819984827176613
1973-02-23,-1.596646464704801,-1.596646464704801,-1.596646464704801,-1.596646464704801,-1.7181717176384088,-1.7181717176384088,-1.7181717176384088,-1.7181717176384088
1973-02-26,-0.6,-0.6,-0.6,-0.6,-0.78,-0.78,-0.78,-0.78
1973-02-27,-0.4516327634155425,-0.4516327634155425,-0.4516327634155425,-0.4516327634155425,-0.5882655268310849,-0.5882655268310849,-0.5882655268310849,-0.5882655268310849
1973-02-28,0.9283711115472792,0.9283711115472792,0.9283711115472792,0.9283711115472792,1.103484446189117,1.103484446189117,1.103484446189117,1.103484446189117
1973-03-01,3.198325273911723,3.198325273911723,3.198325273911723,3.198325273911723,3.3,3.3,3.3,3.3
1973-03-02,-1.32,-1.32,-1.32,-1.32,-1.3233513840262525,-1.3233513840262525,-1.3233513840262525,-1.3233513840262525
1973-03-05,1.5642000000000027,1.5642000000000027,1.5642000000000027,1.5642000000000027,1.6590000000000034,1.6590000000000034,1.6590000000000034,1.6590000000000034
1973-03-06,0.085799999999997,0.085799999999997,0.085799999999997,0.085799999999997,0.08599108970172764,0.08599108970172764,0.08599108970172764,0.08599108970172764
1973-03-07,0.32667700017712836,0.32667700017712836,0.32667700017712836,0.32667700017712836,0.37667700017712835,0.37667700017712835,0.37667700017712835,0.37667700017712835
1973-03-08,-2.1016735844029055,-2.1016735844029055,-2.1016735844029055,-2.1016735844029055,-2.4033471688058103,-2.4033471688058103,-2.4033471688058103,-2.4033471688058103
1973-03-09,0.54,0.54,0.54,0.54,0.6283338073670768,0.6283338073670768,0.6283338073670768,0.6283338073670768
1973-03-12,-1.8016718412994668,-1.8016718412994668,-1.8016718412994668,-1.8016718412994668,-2.05,-2.05,-2.05,-2.05
1973-03-13,-0.37,-0.37,-0.37,-0.37,-0.4249792714665497,-0.4249792714665497,-0.4249792714665497,-0.4249792714665497
1973-03-14,0.925,0.925,0.925,0.925,0.7950223968754736,0.7950223968754736,0.7950223968754736,0.7950223968754736
1973-03-15,0.74,0.74,0.74,0.74,0.58,0.58,0.58,0.58
1973-03-16,0.18335474988192596,0.18335474988192596,0.18335474988192596,0.18335474988192596,0.145,0.145,0.145,0.145
1973-03-19,-1.3332884841558246,-1.3332884841558246,-1.3332884841558246,-1.3332884841558246,-1.015,-1.015,-1.015,-1.015
1973-03-20,0.6,0.6,0.6,0.6,0.435,0.435,0.435,0.435
1973-03-21,0.19836993329519417,0.19836993329519417,0.19836993329519417,0.19836993329519417,0.145,0.145,0.145,0.145
1973-03-22,2.458360683911033,2.458360683911033,2.458360683911033,2.458360683911033,1.74,1.74,1.74,1.74
1973-03-23,-1.47,-1.47,-1.47,-1.47,-1.021554075120964,-1.021554075120964,-1.021554075120964,-1.021554075120964
